State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	9,48153	0,67883	1,57660	1,95042	1,97069	0,51545	1,22705	0,26926
2	7,16090	0,91571	4,17475	2,27824	3,21334	0,53549	0,62450	0,28503
3	1,74225	1,33206	0,92236	0,59736	1,04268	0,47471	0,39576	0,38552
4	73,48580	0,19111	0,41520	0,71873	0,49559	0,25374	0,44618	1,24682
5	1,82835	7,63069	2,20716	1,01081	2,64954	4,97593	5,97254	0,58629
6	0,29196	40,01704	5,86780	1,32043	2,37032	23,95007	13,58547	0,23833
7	2,07848	1,17298	1,51967	1,43215	2,03936	2,13430	3,41601	0,34652
8	1,19042	0,32578	2,35830	1,74762	1,88936	1,07373	1,74654	0,33381
9	1,29158	8,33322	3,26686	1,64234	2,81301	5,58855	10,72585	0,21625
10	0,61447	47,92116	8,15199	1,65440	3,09717	65,34170	17,77698	0,15794
11	0,83427	2,36383	2,51125	1,08695	3,00701	3,15435	1,88671	0,56993
Base	100	1,1971775648	3,2081642772	41,9037580820	0,0012794036	0,0014719782	4,6515938314	36,2650601076
