State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	1,51160	1,42566	1,05632	0,59043	1,20178	0,39793	0,49645	0,43264
2	79,94192	0,22978	0,50877	0,81762	0,61355	0,27464	0,50154	1,16532
3	2,92071	5,88706	1,97467	0,96440	2,19172	4,04165	4,89281	0,59250
4	0,82232	24,03488	4,67201	1,42287	3,68190	20,38988	13,49433	0,23604
5	2,56146	0,70974	1,23571	1,55705	1,75613	1,49703	2,71745	0,33575
6	1,29600	0,29874	1,78356	1,62052	2,06918	1,45038	1,92597	0,30591
7	1,09679	28,42651	6,13520	1,69352	3,23372	34,20783	15,94393	0,17256
8	0,44735	0,34677	4,84623	2,24696	4,06084	1,00845	1,06224	0,29608
9	9,06451	0,89471	3,63363	2,25508	2,90116	0,46451	0,64180	0,27136
10	0,33734	2,57687	2,40538	1,08663	2,56435	2,89752	1,57758	0,66947
Base	100	1,1971775648	3,2081642772	41,9037580820	0,0012794036	0,0014719782	4,6515938314	36,2650601076
