State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	1,59062	27,97156	5,67219	1,63773	2,93676	29,87435	15,65678	0,17962
2	1,23535	0,50191	2,03234	1,65939	1,96069	1,58245	2,02274	0,32933
3	2,45234	1,61729	1,77444	1,50178	2,18702	2,79003	3,40998	0,33476
4	0,84489	2,76937	2,60568	1,09899	3,07158	3,55964	2,03831	0,56132
5	7,15359	0,90971	4,19678	2,27884	3,20453	0,52553	0,62550	0,28506
6	9,56343	0,69177	1,57730	1,94602	1,97190	0,46386	1,23551	0,26731
7	1,73671	1,42350	0,91974	0,59288	1,04600	0,47623	0,42310	0,38254
8	73,49333	0,18599	0,41336	0,71821	0,49201	0,24860	0,44398	1,24735
9	1,92973	10,01026	2,50347	1,04027	2,68966	6,93540	6,66312	0,55991
Base	100	1,1971775648	3,2081642772	41,9037580820	0,0012794036	0,0014719782	4,6515938314	36,2650601076
