State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	1,66787	27,59282	5,69516	1,59049	3,42313	30,11354	15,68821	0,18740
2	1,36994	0,38850	1,90274	1,66941	2,02065	1,20745	1,76165	0,31302
3	2,18362	0,98237	1,59004	1,50326	2,09962	2,16926	3,11143	0,33878
4	0,29528	2,86781	2,73630	1,11214	3,22255	4,32874	1,91379	0,54364
5	6,81205	0,88206	4,31881	2,28022	3,28900	0,51876	0,63682	0,27499
6	9,67809	0,73238	1,58780	1,95616	1,90385	0,45060	1,18568	0,27315
7	1,48902	1,44914	1,08297	0,59016	1,27810	0,40396	0,48160	0,43223
8	73,51037	0,18565	0,41833	0,72290	0,49660	0,25366	0,43237	1,24480
9	2,99376	7,19916	2,15889	0,99048	2,25382	4,99786	5,26015	0,56520
Base	100	1,1971775648	3,2081642772	41,9037580820	0,0012794036	0,0014719782	4,6515938314	36,2650601076
